ds,yhat,yhat_lower,yhat_upper,Producto,cambio,movimiento
2025-06-06,9999.098471995381,9994.403577061998,10004.09661311996,Aguacate Papelillo,,sin datos
2025-06-07,9999.842832796057,9994.950296361425,10004.534953479131,Aguacate Papelillo,0.7443608006760769,subió
2025-06-08,9290.686859599597,9285.91678780998,9295.802281842087,Aguacate Papelillo,-709.1559731964608,bajó
2025-06-09,10000.157645807198,9995.711184145119,10005.052531099263,Aguacate Papelillo,709.4707862076011,subió
2025-06-10,9290.673330988946,9286.003940932924,9295.992285103166,Aguacate Papelillo,-709.4843148182517,bajó
2025-06-11,9999.978820285982,9995.230339693151,10004.630704407027,Aguacate Papelillo,709.3054892970358,subió
2025-06-12,10000.21727542796,9994.834400354819,10004.930517090263,Aguacate Papelillo,0.23845514197819284,subió
2025-06-13,9999.04937419538,9994.366577927625,10003.7659257755,Aguacate Papelillo,-1.1679012325803342,bajó
2025-06-14,9999.789188149263,9994.915397562743,10004.583650638817,Aguacate Papelillo,0.7398139538836404,subió
2025-06-15,9290.629667447218,9285.97031087643,9295.472680470788,Aguacate Papelillo,-709.1595207020455,bajó
2025-06-16,10000.097952870481,9995.250920060178,10005.306020708089,Aguacate Papelillo,709.4682854232633,subió
2025-06-17,9290.61220981607,9285.692757136016,9295.573278578779,Aguacate Papelillo,-709.4857430544107,bajó
2025-06-18,9999.91734733251,9994.968968402112,10004.774435116367,Aguacate Papelillo,709.3051375164396,subió
2025-06-19,10000.156509241526,9994.828410672679,10005.30249016611,Aguacate Papelillo,0.23916190901582013,subió
2025-06-20,9998.990334256068,9993.859966200069,10003.760560750037,Aguacate Papelillo,-1.1661749854574737,bajó
2025-06-21,9999.73283479417,9994.923769838295,10004.883450266743,Aguacate Papelillo,0.7425005381010124,subió
2025-06-22,9290.576883402115,9285.647639652763,9295.422895654521,Aguacate Papelillo,-709.1559513920547,bajó
2025-06-23,10000.049526718178,9994.868558189033,10005.051848804005,Aguacate Papelillo,709.4726433160631,subió
2025-06-24,9290.568821830195,9285.775060502661,9295.452916372284,Aguacate Papelillo,-709.4807048879829,bajó
2025-06-25,9999.879557931503,9994.641935891032,10004.635649020705,Aguacate Papelillo,709.3107361013081,subió
2025-06-26,10000.124750318375,9994.976398813014,10005.381668383545,Aguacate Papelillo,0.2451923868720769,subió
2025-06-27,9998.964903495296,9993.943705849342,10003.999511781882,Aguacate Papelillo,-1.1598468230786239,bajó
2025-06-28,9999.71389312105,9995.011470262152,10005.005248590607,Aguacate Papelillo,0.748989625753893,subió
2025-06-29,9290.564455493242,9285.330804591724,9295.22542346266,Aguacate Papelillo,-709.1494376278079,bajó
2025-06-30,10000.04350454464,9994.828535018263,10004.922837956483,Aguacate Papelillo,709.4790490513969,subió
2025-07-01,9290.56897108211,9285.654710522536,9295.624904990565,Aguacate Papelillo,-709.4745334625295,bajó
2025-07-02,9999.885527090126,9995.169997605366,10004.80052188553,Aguacate Papelillo,709.316556008016,subió
2025-07-03,10000.136082096577,9995.33726353707,10005.274378275173,Aguacate Papelillo,0.25055500645066786,subió
2025-07-04,9998.981048336169,9994.116298661453,10004.213135283486,Aguacate Papelillo,-1.1550337604076049,bajó
2025-07-05,9999.73422436908,9994.533586700702,10004.25458258685,Aguacate Papelillo,0.7531760329111421,subió
2025-07-06,9290.58828582014,9285.857706967845,9295.771181545259,Aguacate Papelillo,-709.1459385489397,bajó
